Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,
Name,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,C3’-C4’,
Time,20220317082042,20220317082130,20220317091327,20220317093224,20220317093224,20220317093224,20220317104709,20220317105109,20220317105109,20220317105109,20220317105109,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,20220317114939,
Highcut,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,
Lowcut,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,30.000000,
Period,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,0.000156,
Averages,101,84,38,15,29,57,48,30,41,58,67,13,23,28,37,37,43,43,
Int (mA),45/45mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,55/55mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,45/45mA,
Pulse Width (µs),250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,250µs,
Rep Rate (Hz),2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,2.79Hz,
Data0,0.029763,-0.015622,0.303574,-0.261184,-0.136279,-0.095837,0.125728,0.086849,0.040427,0.027953,0.033109,-0.019917,0.018535,0.029598,0.007062,0.007062,0.032071,0.032071,
Data1,0.032784,-0.009083,0.304779,-0.242364,-0.141541,-0.093963,0.125092,0.083988,0.037729,0.026144,0.030404,-0.034956,0.005805,0.019585,-0.002114,-0.002114,0.023155,0.023155,
Data2,0.035957,-0.001453,0.304377,-0.222019,-0.145750,-0.091019,0.124139,0.081064,0.034938,0.024237,0.027614,-0.049739,-0.006634,0.009673,-0.011238,-0.011238,0.014194,0.014194,
Data3,0.039281,0.006176,0.302370,-0.199893,-0.148907,-0.087003,0.122708,0.077948,0.032146,0.022297,0.024739,-0.064227,-0.018866,-0.000068,-0.020105,-0.020105,0.005234,0.005234,
Data4,0.042604,0.014532,0.298956,-0.176496,-0.150749,-0.082452,0.120960,0.074896,0.029262,0.020323,0.021807,-0.078313,-0.030767,-0.009639,-0.028714,-0.028714,-0.003593,-0.003593,
Data5,0.046079,0.023615,0.294138,-0.152082,-0.151275,-0.077098,0.118893,0.071845,0.026424,0.018285,0.018818,-0.091994,-0.042253,-0.018938,-0.036962,-0.036962,-0.012331,-0.012331,
Data6,0.049403,0.032335,0.287713,-0.126396,-0.151012,-0.070941,0.116191,0.068793,0.023633,0.016278,0.015828,-0.105126,-0.053282,-0.027929,-0.044901,-0.044901,-0.020892,-0.020892,
Data7,0.052576,0.041417,0.279682,-0.099947,-0.149696,-0.064516,0.112853,0.065868,0.020842,0.014305,0.012839,-0.117744,-0.063773,-0.036547,-0.052427,-0.052427,-0.029276,-0.029276,
Data8,0.055597,0.050137,0.270245,-0.073243,-0.147328,-0.057556,0.109038,0.063071,0.018190,0.012332,0.009850,-0.129702,-0.073766,-0.044721,-0.059438,-0.059438,-0.037349,-0.037349,
Data9,0.058166,0.058493,0.259002,-0.046286,-0.144435,-0.050328,0.104270,0.060337,0.015585,0.010425,0.006918,-0.140926,-0.083054,-0.052419,-0.065985,-0.065985,-0.045156,-0.045156,
Data10,0.060281,0.066486,0.246353,-0.019074,-0.141014,-0.043100,0.098707,0.057794,0.013026,0.008550,0.004014,-0.151380,-0.091720,-0.059571,-0.071965,-0.071965,-0.052564,-0.052564,
Data11,0.061640,0.073389,0.232098,0.007375,-0.136805,-0.035872,0.092190,0.055314,0.010560,0.006709,0.001139,-0.160953,-0.099598,-0.066077,-0.077326,-0.077326,-0.059528,-0.059528,
Data12,0.062245,0.079202,0.216236,0.033316,-0.132596,-0.029180,0.084401,0.052898,0.008141,0.004867,-0.001651,-0.169500,-0.106606,-0.071867,-0.081966,-0.081966,-0.066004,-0.066004,
Data13,0.061791,0.083925,0.198769,0.058747,-0.128123,-0.023022,0.075500,0.050482,0.005722,0.003025,-0.004441,-0.176983,-0.112660,-0.076874,-0.085832,-0.085832,-0.071859,-0.071859,
Data14,0.060583,0.087194,0.179896,0.083162,-0.123651,-0.017401,0.065328,0.048066,0.003303,0.001151,-0.007202,-0.183292,-0.117677,-0.080995,-0.088822,-0.088822,-0.077049,-0.077049,
Data15,0.058317,0.089374,0.159818,0.106305,-0.119178,-0.012314,0.054042,0.045523,0.000791,-0.000756,-0.009992,-0.188354,-0.121575,-0.084163,-0.090936,-0.090936,-0.081529,-0.081529,
Data16,0.055295,0.090464,0.138937,0.128430,-0.114443,-0.007763,0.041644,0.042852,-0.001768,-0.002795,-0.012754,-0.192095,-0.124353,-0.086343,-0.092121,-0.092121,-0.085255,-0.085255,
Data17,0.051669,0.090101,0.117254,0.149284,-0.109707,-0.003480,0.028452,0.039991,-0.004466,-0.004900,-0.015544,-0.194516,-0.125928,-0.087535,-0.092327,-0.092327,-0.088183,-0.088183,
Data18,0.047137,0.088648,0.094967,0.168867,-0.104972,0.000000,0.014146,0.036940,-0.007350,-0.007136,-0.018362,-0.195616,-0.126302,-0.087671,-0.091554,-0.091554,-0.090356,-0.090356,
Data19,0.041698,0.086104,0.072480,0.187177,-0.099973,0.002409,-0.000954,0.033633,-0.010328,-0.009471,-0.021152,-0.195359,-0.125514,-0.086786,-0.089801,-0.089801,-0.091687,-0.091687,
Data20,0.035353,0.082108,0.049391,0.203454,-0.095500,0.004283,-0.017325,0.030073,-0.013491,-0.011938,-0.023942,-0.193782,-0.123441,-0.084810,-0.087069,-0.087069,-0.092175,-0.092175,
Data21,0.027950,0.077022,0.026101,0.218204,-0.091554,0.005086,-0.034810,0.026131,-0.016887,-0.014536,-0.026760,-0.190811,-0.120082,-0.081745,-0.083254,-0.083254,-0.091820,-0.091820,
Data22,0.019640,0.070119,0.002811,0.230920,-0.087871,0.005086,-0.053089,0.021871,-0.020469,-0.017265,-0.029579,-0.186483,-0.115396,-0.077589,-0.078409,-0.078409,-0.090534,-0.090534,
